scaffold	fragaria_gene	desc_1	desc_2	frac_ident	length	rank	start	end	strand
scf0513025	gene24365	AT1G01540.2_Symbols:__Protein_kinase_superfamily_protein_chr1:195780-	 198684_FORWARD_LENGTH=1920	0.509090909090909	55	1	951	1115	1	
scf0513025	gene24365	AT5G20480.1_Symbols:_EFR_EF-TU_receptor_chr5:6922480-	 6925887_FORWARD_LENGTH=3321	0.372549019607843	51	79	500	652	-1	
scf0513025	gene24365	AT2G45340.1_Symbols:__Leucine-	 rich_repeat_protein_kinase_family_protein_chr2:18691722- 18694725_FORWARD_LENGTH=2352	0.324675324675325	77	33	401	631	-1	
scf0513025	gene24365	AT4G27300.1_Symbols:__S-	 locus_lectin_protein_kinase_family_protein_chr4:13669308- 13672348_REVERSE_LENGTH=2448	0.285714285714286	56	6	1518	1685	-1	
scf0513025	gene24365	AT3G02880.1_Symbols:__Leucine-	 rich_repeat_protein_kinase_family_protein_chr3:634653- 637284_FORWARD_LENGTH=2352	0.341176470588235	85	15	449	703	1	
scf0513025	gene24365	AT2G19210.1_Symbols:__Leucine-	 rich_repeat_transmembrane_protein_kinase_protein_chr2:833 5639-8339307_REVERSE_LENGTH=2646	0.3	60	19	1278	1457	-1	
scf0513025	gene24365	AT4G20270.1_Symbols:_BAM3_Leucine-rich_receptor-	 like_protein_kinase_family_protein_chr4:10949661- 10953083_FORWARD_LENGTH=3299	0.327868852459016	61	91	1136	1318	-1	
scf0513025	gene24365	AT1G26150.1_Symbols:_ATPERK10,	 _PERK10_proline-rich_extensin- like_receptor_kinase_10_chr1:9039628- 9043288_REVERSE_LENGTH=2866	0.469026548672566	113	1	1826	2164	1	
scf0513025	gene24365	AT1G66150.1_Symbols:_TMK1_transmembrane_kinase_1_chr1:24631409-	 24634749_FORWARD_LENGTH=3257	0.30188679245283	53	21	299	457	1	
scf0513025	gene24365	AT1G74170.1_Symbols:_AtRLP13,	 _RLP13_receptor_like_protein_13_chr1:27891494- 27896355_REVERSE_LENGTH=3545	0.377358490566038	53	55	2857	3015	-1	
scf0513025	gene24365	AT1G60800.1_Symbols:_NIK3_NSP-interacting_kinase_3_chr1:22383453-	 22387457_REVERSE_LENGTH=2573	0.329113924050633	79	26	784	1020	-1	
scf0513025	gene24365	AT1G71400.1_Symbols:_AtRLP12,	 _RLP12_receptor_like_protein_12_chr1:26909835- 26912597_FORWARD_LENGTH=2763	0.316666666666667	60	69	1343	1522	1	
scf0513025	gene24365	AT1G65380.1_Symbols:_CLV2,	 _AtRLP10_Leucine- rich_repeat_(LRR)_family_protein_chr1:24286826- 24289249_FORWARD_LENGTH=2424	0.284313725490196	102	59	1095	1400	-1	
scf0513025	gene24365	AT5G07280.1_Symbols:_EMS1,	 _EXS_Leucine- rich_repeat_transmembrane_protein_kinase_chr5:2285040- 2288686_FORWARD_LENGTH=3647	0.315789473684211	57	166	1824	1994	-1	
scf0513025	gene24365	AT4G28652.1_Symbols:__Potential_natural_antisense_gene,	 _locus_overlaps_with_AT4G28650_chr4:14144954- 14147600_FORWARD_LENGTH=2346	0.358490566037736	53	67	1424	1582	1	
scf0513025	gene24365	AT2G13800.1_Symbols:_ATSERK5,_SERK5,	 _BAK8_somatic_embryogenesis_receptor- like_kinase_5_chr2:5753271-5757239_FORWARD_LENGTH=1985	0.363636363636364	66	29	314	511	-1	
scf0513025	gene24365	AT5G51350.1_Symbols:__Leucine-	 rich_repeat_transmembrane_protein_kinase_family_protein_c hr5:20867602-20870745_REVERSE_LENGTH=3070	0.39622641509434	53	57	691	849	-1	
scf0513025	gene24365	AT3G24540.1_Symbols:__Protein_kinase_superfamily_protein_chr3:8952903	 -8955621_FORWARD_LENGTH=1530	0.379310344827586	58	5	657	830	-1	
scf0513025	gene24365	AT1G66830.1_Symbols:__Leucine-	 rich_repeat_protein_kinase_family_protein_chr1:24930665- 24932918_REVERSE_LENGTH=2177	0.328571428571429	70	32	1395	1604	-1	
scf0513025	gene24365	AT3G47570.1_Symbols:__Leucine-	 rich_repeat_protein_kinase_family_protein_chr3:17527507- 17530929_FORWARD_LENGTH=3318	0.321428571428571	56	79	1586	1753	-1	
scf0513025	gene24365	AT1G51805.2_Symbols:__Leucine-	 rich_repeat_protein_kinase_family_protein_chr1:19221064- 19225690_REVERSE_LENGTH=2806	0.351351351351351	74	11	2083	2304	-1	
scf0513025	gene24365	AT1G69990.1_Symbols:__Leucine-	 rich_repeat_protein_kinase_family_protein_chr1:26360235- 26362010_REVERSE_LENGTH=1776	0.315068493150685	73	23	328	546	1	
scf0513025	gene24365	AT1G07560.1_Symbols:__Leucine-	 rich_repeat_protein_kinase_family_protein_chr1:2327320- 2331096_FORWARD_LENGTH=2616	0.278688524590164	61	16	1249	1431	1	
scf0513025	gene24365	AT5G48740.1_Symbols:__Leucine-	 rich_repeat_protein_kinase_family_protein_chr5:19765195- 19769369_REVERSE_LENGTH=2872	0.329268292682927	82	9	2210	2455	-1	
scf0513025	gene24365	AT3G49670.1_Symbols:_BAM2_Leucine-rich_receptor-	 like_protein_kinase_family_protein_chr3:18417568- 18421106_FORWARD_LENGTH=3452	0.272727272727273	55	108	1791	1955	1	
scf0513025	gene24365	AT5G65700.1_Symbols:_BAM1_Leucine-rich_receptor-	 like_protein_kinase_family_protein_chr5:26281757- 26285247_FORWARD_LENGTH=3383	0.320754716981132	53	95	825	983	-1	
scf0513025	gene24365	AT3G21340.1_Symbols:__Leucine-	 rich_repeat_protein_kinase_family_protein_chr3:7511787- 7515937_REVERSE_LENGTH=2761	0.353846153846154	65	10	2100	2294	-1	
scf0513025	gene24365	AT3G56100.1_Symbols:_MRLK,	 _IMK3_meristematic_receptor-like__kinase_chr3:20816931- 20819517_REVERSE_LENGTH=2303	0.372881355932203	59	38	330	506	-1	
scf0513025	gene24365	AT5G48380.1_Symbols:_BIR1_BAK1-interacting_receptor-	 like_kinase_1_chr5:19604089-19607059_REVERSE_LENGTH=2756	0.306451612903226	62	10	783	968	1	
scf0513025	gene24365	AT1G48480.1_Symbols:_RKL1_receptor-like_kinase_1_chr1:17918391-	 17920985_FORWARD_LENGTH=2294	0.350877192982456	57	21	532	702	1	
scf0513025	gene24365	AT1G01540.1_Symbols:__Protein_kinase_superfamily_protein_chr1:195812-	 198635_FORWARD_LENGTH=1908	0.509090909090909	55	1	919	1083	1	
scf0513025	gene24365	AT4G39400.1_Symbols:_BRI1,_CBB2,_DWF2,_BIN1,	 _ATBRI1_Leucine-rich_receptor- like_protein_kinase_family_protein_chr4:18324661- 18328826_FORWARD_LENGTH=4166	0.309090909090909	55	90	1740	1904	-1	
scf0513025	gene24365	AT3G51740.1_Symbols:_IMK2_inflorescence_meristem_receptor-	 like_kinase_2_chr3:19189049-19192051_FORWARD_LENGTH=2919	0.482142857142857	56	59	653	820	1	
scf0513025	gene24365	AT3G56370.1_Symbols:__Leucine-	 rich_repeat_protein_kinase_family_protein_chr3:20899099- 20902981_REVERSE_LENGTH=3416	0.365384615384615	52	89	1600	1755	-1	
scf0513025	gene24365	AT3G53590.1_Symbols:__Leucine-	 rich_repeat_protein_kinase_family_protein_chr3:19867379- 19871651_REVERSE_LENGTH=2352	0.392857142857143	56	42	6	173	-1	
scf0513025	gene24365	AT4G28490.1_Symbols:_RLK5,	 _HAE_Leucine-rich_receptor- like_protein_kinase_family_protein_chr4:14077857- 14081171_FORWARD_LENGTH=3243	0.4	55	99	1570	1734	-1	
scf0513025	gene24365	AT5G18500.2_Symbols:__Protein_kinase_superfamily_protein_chr5:6138383	 -6141630_FORWARD_LENGTH=2026	0.381818181818182	55	6	1010	1174	-1	
scf0513025	gene24365	AT1G06840.1_Symbols:__Leucine-	 rich_repeat_protein_kinase_family_protein_chr1:2097747- 2103479_REVERSE_LENGTH=3240	0.358208955223881	67	42	1115	1315	1	
scf0513025	gene24365	AT1G08592.1_Symbols:__Potential_natural_antisense_gene,	 _locus_overlaps_with_AT1G08590_chr1:2718875- 2721676_REVERSE_LENGTH=1614	0.365384615384615	52	72	630	785	1	
scf0513025	gene24365	AT5G63710.1_Symbols:__Leucine-	 rich_repeat_protein_kinase_family_protein_chr5:25499414- 25502798_FORWARD_LENGTH=2106	0.295081967213115	61	25	376	558	-1	
scf0513025	gene24365	AT1G34210.1_Symbols:_SERK2,	 _ATSERK2_somatic_embryogenesis_receptor- like_kinase_2_chr1:12458670-12462905_FORWARD_LENGTH=2448	0.347826086956522	69	32	619	825	1	
