scaffold	fragaria_gene	desc_1	desc_2	frac_ident	length	rank	start	end	strand
scf0513060	gene22183	AT5G42840.2_Symbols:__Cysteine/Histidine-	 rich_C1_domain_family_protein_chr5:17179118- 17181276_FORWARD_LENGTH=2053	0.26984126984127	63	1	1160	1348	1	
scf0513060	gene22183	AT5G19390.4_Symbols:__Rho_GTPase_activation_protein_(RhoGAP)_with_P	 H_domain_chr5:6531540-6537322_FORWARD_LENGTH=2690	0.283018867924528	53	1	622	780	1	
scf0513060	gene22183	AT5G42840.1_Symbols:__Cysteine/Histidine-	 rich_C1_domain_family_protein_chr5:17179158- 17181173_FORWARD_LENGTH=2016	0.26984126984127	63	1	1120	1308	1	
scf0513060	gene22183	AT1G67855.1_Symbols:__unknown_protein;_Has_30201_Blast_hits_to_1732	 2_proteins_in_780_species:_Archae_-_12;_Bacteria_- _1396;_Metazoa_-_17338;_Fungi_-_3422;_Plants_- _5037;_Viruses_-_0;_Other_Eukaryotes_- _2996_(source:_NCBI_BLink)._chr1:25442256- 25442876_REVERSE_LENGTH=467	0.464285714285714	56	2	206	373	-1	
scf0513060	gene22183	AT1G02650.1_Symbols:__Tetratricopeptide_repeat_(TPR)-	 like_superfamily_protein_chr1:568704- 570418_FORWARD_LENGTH=1542	0.313725490196078	51	1	1332	1484	-1	
scf0513060	gene22183	AT5G19390.1_Symbols:__Rho_GTPase_activation_protein_(RhoGAP)_with_P	 H_domain_chr5:6531538-6538483_FORWARD_LENGTH=3182	0.283018867924528	53	1	548	706	1	
scf0513060	gene22183	AT5G19390.2_Symbols:__Rho_GTPase_activation_protein_(RhoGAP)_with_P	 H_domain_chr5:6531545-6538467_FORWARD_LENGTH=3235	0.283018867924528	53	1	617	775	1	
scf0513060	gene22183	AT5G19390.3_Symbols:__Rho_GTPase_activation_protein_(RhoGAP)_with_P	 H_domain_chr5:6531540-6538483_FORWARD_LENGTH=3249	0.283018867924528	53	1	622	780	1	
scf0513060	gene22183	AT1G67856.1_Symbols:__RING/U-box_superfamily_protein_chr1:25442404-	 25443019_FORWARD_LENGTH=616	0.461538461538462	65	2	74	268	1	
scf0513060	gene22190	AT2G27770.1_Symbols:__Plant_protein_of_unknown_function_(DUF868)_chr2	 :11832809-11834369_REVERSE_LENGTH=1561	0.328358208955224	67	2	505	705	1	
scf0513060	gene22190	AT3G13229.1_Symbols:__Plant_protein_of_unknown_function_(DUF868)_ch	 r3:4268444-4269691_REVERSE_LENGTH=1248	0.391304347826087	115	1	419	763	1	
scf0513060	gene22190	AT5G28150.1_Symbols:__Plant_protein_of_unknown_function_(DUF868)_ch	 r5:10135434-10136977_FORWARD_LENGTH=1453	0.4	125	1	464	838	1	
scf0513060	gene22190	AT4G12690.1_Symbols:__Plant_protein_of_unknown_function_(DUF868)_ch	 r4:7480641-7482150_FORWARD_LENGTH=1409	0.336633663366337	101	7	343	645	1	
scf0513060	gene22190	AT5G32471.1_Symbols:__pseudogene,	 _hypothetical_protein_chr5:12098265- 12099650_FORWARD_LENGTH=1386	0.296296296296296	54	1	271	432	-1	
scf0513060	gene22190	AT5G11000.1_Symbols:__Plant_protein_of_unknown_function_(DUF868)_ch	 r5:3479029-3480425_REVERSE_LENGTH=1397	0.285714285714286	70	3	451	660	1	
scf0513060	gene22190	AT4G12690.2_Symbols:__Plant_protein_of_unknown_function_(DUF868)_ch	 r4:7480641-7482150_FORWARD_LENGTH=1510	0.336633663366337	101	7	444	746	1	
scf0513060	gene22190	AT3G04860.1_Symbols:__Plant_protein_of_unknown_function_(DUF868)_ch	 r3:1339104-1340623_REVERSE_LENGTH=1437	0.327868852459016	61	4	680	862	1	
scf0513060	gene22190	AT5G48270.1_Symbols:__Plant_protein_of_unknown_function_(DUF868)_ch	 r5:19564422-19565857_REVERSE_LENGTH=1436	0.39622641509434	53	4	254	412	1	
