scaffold	fragaria_gene	desc_1	desc_2	frac_ident	length	rank	start	end	strand
scf0513196	gene15515	AT2G21220.1_Symbols:__SAUR-like_auxin-	 responsive_protein_family__chr2:9089326- 9089813_FORWARD_LENGTH=488	0.3625	80	2	174	413	-1	
scf0513196	gene15515	AT2G16580.1_Symbols:__SAUR-like_auxin-	 responsive_protein_family__chr2:7184422- 7186968_REVERSE_LENGTH=893	0.353846153846154	65	2	172	366	-1	
scf0513196	gene15515	AT1G79130.1_Symbols:__SAUR-like_auxin-	 responsive_protein_family__chr1:29771278- 29771887_FORWARD_LENGTH=610	0.402985074626866	67	1	174	374	1	
scf0513196	gene15515	AT5G10990.1_Symbols:__SAUR-like_auxin-	 responsive_protein_family__chr5:3476839- 3477704_FORWARD_LENGTH=866	0.396551724137931	58	2	168	341	-1	
scf0513196	gene15515	AT3G51200.1_Symbols:__SAUR-like_auxin-	 responsive_protein_family__chr3:19018853- 19019173_REVERSE_LENGTH=321	0.459016393442623	61	1	127	309	1	
scf0513196	gene15515	AT4G34750.1_Symbols:__SAUR-like_auxin-	 responsive_protein_family__chr4:16577482- 16578452_FORWARD_LENGTH=971	0.428571428571429	70	1	175	384	1	
scf0513196	gene15515	AT2G24400.1_Symbols:__SAUR-like_auxin-	 responsive_protein_family__chr2:10377791- 10378586_REVERSE_LENGTH=796	0.485714285714286	70	1	241	450	1	
scf0513196	gene15515	AT2G37030.1_Symbols:__SAUR-like_auxin-	 responsive_protein_family__chr2:15553732- 15554106_FORWARD_LENGTH=375	0.392857142857143	56	3	160	327	-1	
scf0513196	gene15515	AT5G66260.1_Symbols:__SAUR-like_auxin-	 responsive_protein_family__chr5:26471269- 26471658_FORWARD_LENGTH=300	0.392156862745098	51	2	102	254	-1	
scf0513196	gene15515	AT1G19830.1_Symbols:__SAUR-like_auxin-	 responsive_protein_family__chr1:6852155- 6852872_FORWARD_LENGTH=718	0.380281690140845	71	2	174	386	-1	
scf0513196	gene15515	AT4G31320.1_Symbols:__SAUR-like_auxin-	 responsive_protein_family__chr4:15193993- 15194562_REVERSE_LENGTH=570	0.371428571428571	70	3	231	440	-1	
scf0513196	gene15515	AT3G43120.1_Symbols:__SAUR-like_auxin-	 responsive_protein_family__chr3:15094083- 15095512_FORWARD_LENGTH=849	0.333333333333333	54	3	416	577	-1	
scf0513196	gene15515	AT1G75590.1_Symbols:__SAUR-like_auxin-	 responsive_protein_family__chr1:28382896- 28383768_REVERSE_LENGTH=873	0.431034482758621	58	2	180	353	-1	
scf0513196	gene15515	AT2G18010.1_Symbols:__SAUR-like_auxin-	 responsive_protein_family__chr2:7833902- 7834240_FORWARD_LENGTH=339	0.357142857142857	56	2	144	311	-1	
scf0513196	gene15515	AT3G61900.1_Symbols:__SAUR-like_auxin-	 responsive_protein_family__chr3:22925813- 22926379_FORWARD_LENGTH=411	0.452830188679245	53	1	130	288	1	
scf0513196	gene15515	AT4G00880.1_Symbols:__SAUR-like_auxin-	 responsive_protein_family__chr4:366373- 367274_REVERSE_LENGTH=902	0.27536231884058	69	2	332	538	-1	
scf0513196	gene15515	AT5G20810.1_Symbols:__SAUR-like_auxin-	 responsive_protein_family__chr5:7043898- 7045711_FORWARD_LENGTH=1003	0.484848484848485	66	2	586	783	-1	
scf0513196	gene15515	AT4G34750.2_Symbols:__SAUR-like_auxin-	 responsive_protein_family__chr4:16577404- 16578369_FORWARD_LENGTH=841	0.428571428571429	70	1	253	462	1	
scf0513196	gene15515	AT4G36110.1_Symbols:__SAUR-like_auxin-	 responsive_protein_family__chr4:17089949- 17090825_FORWARD_LENGTH=877	0.390625	64	2	178	369	-1	
scf0513196	gene15515	AT5G42410.1_Symbols:__SAUR-like_auxin-	 responsive_protein_family__chr5:16964764- 16965099_FORWARD_LENGTH=336	0.280701754385965	57	1	115	285	1	
scf0513196	gene15515	AT1G19840.1_Symbols:__SAUR-like_auxin-	 responsive_protein_family__chr1:6872794- 6873255_REVERSE_LENGTH=462	0.287671232876712	73	5	95	313	1	
scf0513196	gene15515	AT5G53588.1_Symbols:_CPuORF50_conserved_peptide_upstream_open_readi	 ng_frame_50_chr5:21771811-21772794_FORWARD_LENGTH=984	0.444444444444444	54	1	480	641	1	
scf0513196	gene15515	AT1G56150.1_Symbols:__SAUR-like_auxin-	 responsive_protein_family__chr1:21017385- 21017939_FORWARD_LENGTH=555	0.338983050847458	59	2	168	344	-1	
scf0513196	gene15515	AT1G16510.1_Symbols:__SAUR-like_auxin-	 responsive_protein_family__chr1:5644572- 5645443_REVERSE_LENGTH=872	0.444444444444444	63	1	379	567	1	
scf0513196	gene15515	AT5G53590.1_Symbols:__SAUR-like_auxin-	 responsive_protein_family__chr5:21771811- 21772794_FORWARD_LENGTH=984	0.444444444444444	54	1	480	641	1	
scf0513196	gene15515	AT1G75580.1_Symbols:__SAUR-like_auxin-	 responsive_protein_family__chr1:28377461- 28378178_FORWARD_LENGTH=718	0.363636363636364	66	2	201	398	-1	
scf0513196	gene15515	AT2G36210.1_Symbols:__SAUR-like_auxin-	 responsive_protein_family__chr2:15186040- 15186804_REVERSE_LENGTH=765	0.333333333333333	57	13	223	393	1	
scf0513196	gene15515	AT3G60690.1_Symbols:__SAUR-like_auxin-	 responsive_protein_family__chr3:22435121- 22435949_FORWARD_LENGTH=829	0.436363636363636	55	1	454	618	1	
scf0513196	gene15515	AT3G09870.1_Symbols:__SAUR-like_auxin-	 responsive_protein_family__chr3:3027424- 3027957_REVERSE_LENGTH=534	0.411764705882353	51	1	230	382	1	
scf0513196	gene15515	AT5G50760.1_Symbols:__SAUR-like_auxin-	 responsive_protein_family__chr5:20644661- 20645469_FORWARD_LENGTH=809	0.434782608695652	69	1	291	497	1	
scf0513196	gene15515	AT1G79620.1_Symbols:__Leucine-	 rich_repeat_protein_kinase_family_protein_chr1:29957562- 29962305_REVERSE_LENGTH=3118	0.296296296296296	54	1	1204	1365	-1	
scf0513196	gene15515	AT5G20810.2_Symbols:__SAUR-like_auxin-	 responsive_protein_family__chr5:7043898- 7045712_FORWARD_LENGTH=1271	0.484848484848485	66	2	586	783	-1	
scf0513196	gene15515	AT3G12830.1_Symbols:__SAUR-like_auxin-	 responsive_protein_family__chr3:4078651- 4079608_REVERSE_LENGTH=958	0.403508771929825	57	2	243	413	-1	
scf0513196	gene15515	AT4G34760.1_Symbols:__SAUR-like_auxin-	 responsive_protein_family__chr4:16582183- 16582879_REVERSE_LENGTH=697	0.375	56	2	214	381	-1	
scf0513196	gene15515	AT2G28085.1_Symbols:__SAUR-like_auxin-	 responsive_protein_family__chr2:11968120- 11968620_REVERSE_LENGTH=501	0.456140350877193	57	1	272	442	1	
scf0513196	gene15515	AT1G76190.1_Symbols:__SAUR-like_auxin-	 responsive_protein_family__chr1:28592225- 28592596_FORWARD_LENGTH=372	0.381818181818182	55	1	94	258	1	
scf0513196	gene15552	AT3G07650.1_Symbols:_COL9_CONSTANS-like_9_chr3:2441657-	 2444532_FORWARD_LENGTH=1962	0.423076923076923	52	26	214	369	-1	
