scf0512945	gene00249
scf0512956	gene01884
scf0512956	gene01904
scf0512972	gene02732
scf0512972	gene02733
scf0512983	gene01295
scf0512983	gene01311
scf0512983	gene01292
scf0512983	gene01294
scf0513003	gene22917
scf0513003	gene22925
scf0513003	gene22961
scf0513177	gene18146
scf0513177	gene18849
scf0513177	gene18355
scf0513177	gene13614
scf0513177	gene13647
scf0513177	gene13883
scf0513177	gene13584
scf0513177	gene13789
scf0513177	gene18421
scf0513177	gene13771
scf0513177	gene18753
scf0513177	gene18097
scf0513177	gene18783
scf0513177	gene18440
