scaffold	fragaria_gene	desc_1	desc_2	frac_ident	length	rank	start	end	strand
scf0513135	gene09342	AT1G63820.1_Symbols:__CCT_motif_family_protein_chr1:23682422-	 23684367_REVERSE_LENGTH=1306	0.294117647058824	51	1	898	1050	1	
scf0513135	gene09342	AT4G35460.1_Symbols:_ATNTRB,_NTRB,	 _NTR1_NADPH- dependent_thioredoxin_reductase_B_chr4:16842188- 16844082_FORWARD_LENGTH=1500	0.293103448275862	58	1	803	976	-1	
scf0513135	gene09350	AT2G25890.1_Symbols:__Oleosin_family_protein_chr2:11037380-	 11038126_FORWARD_LENGTH=747	0.326923076923077	52	1	19	174	1	
scf0513135	gene08891	AT1G44050.1_Symbols:__Cysteine/Histidine-	 rich_C1_domain_family_protein_chr1:16739261- 16741513_FORWARD_LENGTH=2253	0.365384615384615	52	1	336	491	-1	
scf0513135	gene08891	AT5G58660.1_Symbols:__2-oxoglutarate_(2OG)_and_Fe(II)-	 dependent_oxygenase_superfamily_protein_chr5:23701467- 23703988_FORWARD_LENGTH=1287	0.388888888888889	54	1	709	870	1	
scf0513135	gene08891	AT1G04350.1_Symbols:__2-oxoglutarate_(2OG)_and_Fe(II)-	 dependent_oxygenase_superfamily_protein_chr1:1165165- 1166768_FORWARD_LENGTH=1444	0.367088607594937	79	17	739	975	-1	
scf0513135	gene08891	AT5G07200.1_Symbols:_YAP169,_GA20OX3,	 _ATGA20OX3_gibberellin_20-oxidase_3_chr5:2243553- 2245339_REVERSE_LENGTH=1607	0.397727272727273	88	3	785	1048	-1	
scf0513135	gene08891	AT5G59540.1_Symbols:__2-oxoglutarate_(2OG)_and_Fe(II)-	 dependent_oxygenase_superfamily_protein_chr5:23996079- 23997590_REVERSE_LENGTH=1329	0.392857142857143	56	15	313	480	1	
scf0513135	gene08891	AT4G16330.1_Symbols:__2-oxoglutarate_(2OG)_and_Fe(II)-	 dependent_oxygenase_superfamily_protein_chr4:9226164- 9227491_REVERSE_LENGTH=1167	0.448275862068966	58	1	620	793	1	
scf0513135	gene08891	AT3G51240.2_Symbols:_F3H_flavanone_3-hydroxylase_chr3:19025192-	 19026872_FORWARD_LENGTH=1356	0.419354838709677	93	1	507	785	1	
