scaffold	fragaria_gene	desc_1	desc_2	frac_ident	length	rank	start	end	strand
scf0513000	gene24362	AT1G30800.1_Symbols:__Fasciclin-	 like_arabinogalactan_family_protein_chr1:10936923- 10938099_FORWARD_LENGTH=1177	0.298245614035088	57	1	107	277	1	
scf0513000	gene24362	AT1G30810.1_Symbols:__Transcription_factor_jumonji_(jmj)_family_prote	 in_/_zinc_finger_(C5HC2_type)_family_protein_chr1:1093676 5-10942292_REVERSE_LENGTH=4156	0.298245614035088	57	1	3722	3892	-1	
scf0513000	gene24360	AT4G01140.1_Symbols:__Protein_of_unknown_function_(DUF1191)_chr4:49	 0749-492199_REVERSE_LENGTH=1451	0.288461538461538	52	1	376	531	1	
scf0513000	gene24356	AT1G08050.1_Symbols:__Zinc_finger_(C3HC4-	 type_RING_finger)_family_protein_chr1:2498836- 2501427_REVERSE_LENGTH=2294	0.297619047619048	84	23	1733	1984	1	
scf0513000	gene24356	AT3G54780.1_Symbols:__Zinc_finger_(C3HC4-	 type_RING_finger)_family_protein_chr3:20278954- 20281551_FORWARD_LENGTH=2181	0.328358208955224	67	25	1423	1623	-1	
scf0513000	gene24356	AT5G60710.1_Symbols:__Zinc_finger_(C3HC4-	 type_RING_finger)_family_protein_chr5:24410718- 24415068_REVERSE_LENGTH=2569	0.524590163934426	61	33	1382	1564	-1	
scf0513000	gene24356	AT2G01150.1_Symbols:_RHA2B_RING-H2_finger_protein_2B_chr2:100649-	 101495_FORWARD_LENGTH=847	0.363636363636364	55	1	286	450	1	
scf0513000	gene24356	AT3G54780.3_Symbols:__Zinc_finger_(C3HC4-	 type_RING_finger)_family_protein_chr3:20278877- 20281544_FORWARD_LENGTH=2125	0.328358208955224	67	24	1374	1574	-1	
scf0513000	gene24356	AT5G65683.1_Symbols:__Zinc_finger_(C3HC4-	 type_RING_finger)_family_protein_chr5:26261320- 26263783_FORWARD_LENGTH=2385	0.466666666666667	60	1	1152	1331	1	
scf0513000	gene24356	AT2G38970.1_Symbols:__Zinc_finger_(C3HC4-	 type_RING_finger)_family_protein_chr2:16273901- 16276872_FORWARD_LENGTH=2534	0.349593495934959	123	27	1340	1708	1	
scf0513000	gene24356	AT1G32810.2_Symbols:__RING/FYVE/PHD_zinc_finger_superfamily_protein_c	 hr1:11881810-11885843_FORWARD_LENGTH=3207	0.290909090909091	55	1	2683	2847	1	
scf0513000	gene24356	AT2G22680.1_Symbols:__Zinc_finger_(C3HC4-	 type_RING_finger)_family_protein_chr2:9645313- 9647613_FORWARD_LENGTH=2301	0.518518518518518	81	1	1012	1254	1	
scf0513000	gene24356	AT4G37895.1_Symbols:__other_RNA_chr4:17813545-	 17815178_FORWARD_LENGTH=1554	0.444444444444444	63	1	210	398	-1	
scf0513000	gene24356	AT5G49665.1_Symbols:__Zinc_finger_(C3HC4-	 type_RING_finger)_family_protein_chr5:20167002- 20169474_REVERSE_LENGTH=2394	0.447761194029851	67	2	982	1182	1	
scf0513000	gene24356	AT3G54780.2_Symbols:__Zinc_finger_(C3HC4-	 type_RING_finger)_family_protein_chr3:20278954- 20281544_FORWARD_LENGTH=2045	0.328358208955224	67	24	1294	1494	-1	
scf0513000	gene24356	AT5G16910.1_Symbols:_ATCSLD2,	 _CSLD2_cellulose-synthase_like_D2_chr5:5561679- 5565580_FORWARD_LENGTH=3728	0.269230769230769	52	1	382	537	1	
scf0513000	gene24356	AT4G37890.1_Symbols:_EDA40_Zinc_finger_(C3HC4-	 type_RING_finger)_family_protein_chr4:17812736- 17815084_REVERSE_LENGTH=2349	0.444444444444444	63	1	1143	1331	1	
scf0513000	gene24356	AT4G37890.2_Symbols:_EDA40_Zinc_finger_(C3HC4-	 type_RING_finger)_family_protein_chr4:17812736- 17815095_REVERSE_LENGTH=2276	0.444444444444444	63	1	1070	1258	1	
scf0513000	gene24356	AT1G35060.1_Symbols:__transposable_element_gene_chr1:12820034-	 12822787_FORWARD_LENGTH=2754	0.274509803921569	51	2	2405	2557	-1	
scf0513000	gene24356	AT4G17750.1_Symbols:_HSF1,_HSFA1A,_ATHSF1,	 _ATHSFA1A_heat_shock_factor_1_chr4:9869818- 9871603_REVERSE_LENGTH=1639	0.263157894736842	57	1	1315	1485	1	
scf0513000	gene24361	AT3G43867.1_Symbols:__transposable_element_gene_chr3:15721998-	 15726638_REVERSE_LENGTH=4641	0.411764705882353	51	13	915	1067	-1	
scf0513000	gene24361	AT1G41893.1_Symbols:__transposable_element_gene_chr1:15657492-	 15660261_FORWARD_LENGTH=2770	0.3375	80	11	1810	2049	1	
scf0513000	gene24361	AT3G25725.1_Symbols:__transposable_element_gene_chr3:9388313-	 9393066_FORWARD_LENGTH=4754	0.338235294117647	68	14	3609	3812	1	
scf0513000	gene24361	AT1G34090.1_Symbols:__transposable_element_gene_chr1:12407268-	 12409879_FORWARD_LENGTH=2612	0.420454545454545	88	5	771	1034	-1	
scf0513000	gene24361	AT4G14460.1_Symbols:__transposable_element_gene_chr4:8314078-	 8318830_FORWARD_LENGTH=4753	0.333333333333333	60	16	4492	4671	-1	
scf0513000	gene24361	AT2G19840.1_Symbols:__transposable_element_gene_chr2:8562495-	 8566522_REVERSE_LENGTH=4028	0.293103448275862	116	17	1502	1849	-1	
scf0513000	gene24361	AT4G09595.1_Symbols:__transposable_element_gene_chr4:6067926-	 6072006_FORWARD_LENGTH=4081	0.377358490566038	53	20	1551	1709	-1	
scf0513000	gene24361	AT4G04280.1_Symbols:__transposable_element_gene_chr4:2064677-	 2068548_REVERSE_LENGTH=3872	0.398058252427184	103	9	1385	1693	-1	
scf0513000	gene24361	AT5G42645.1_Symbols:__transposable_element_gene_chr5:17090938-	 17095801_REVERSE_LENGTH=4864	0.366666666666667	60	20	2422	2601	-1	
scf0513000	gene24361	AT1G45020.1_Symbols:__transposable_element_gene_chr1:17024408-	 17028720_REVERSE_LENGTH=4313	0.369369369369369	111	8	2794	3126	-1	
scf0513000	gene24361	AT2G24660.1_Symbols:__transposable_element_gene_chr2:10488140-	 10492243_REVERSE_LENGTH=4104	0.299212598425197	127	13	2298	2678	-1	
